thread_url,thread_name,title?,content,created_date,sentiment,sentiment_final
http://f319.com/threads/xin-chuc-mung-co-dong-cua-a-qc-gab-art-klf-hai-amd.1417117/,"Xin chúc mừng cổ đông của a QC: GAB, ART, KLF, HAI, AMD....",Y,"Xin chúc mừng cổ đông của a QC: GAB, ART, KLF, HAI, AMD....",43908,NE,NE
http://f319.com/threads/xin-chuc-mung-co-dong-cua-a-qc-gab-art-klf-hai-amd.1417117/,"Xin chúc mừng cổ đông của a QC: GAB, ART, KLF, HAI, AMD....",N,"Chúc mừng ACE nào theo đuôi mình và đã có hàng. ..Nói cho bằng đúng thì mấy con VN30 giờ nắm giữ là rất rủi ro, nên mình đã 1 lòng theo a QC và đang tận hưởng thành quả, hihi",43908,NE,NE
http://f319.com/threads/xin-chuc-mung-co-dong-cua-a-qc-gab-art-klf-hai-amd.1417117/,"Xin chúc mừng cổ đông của a QC: GAB, ART, KLF, HAI, AMD....",N,"có lãi lo chốt đi, ở đó múa bên băng 3 nốt nhạc đó",43908,NE,NE
http://f319.com/threads/xin-chuc-mung-co-dong-cua-a-qc-gab-art-klf-hai-amd.1417117/,"Xin chúc mừng cổ đông của a QC: GAB, ART, KLF, HAI, AMD....",N,Anh Quýt Kotex-Index thật vi diệu. Tím thủy chung toàn tập,43908,NE,NE
http://f319.com/threads/xin-chuc-mung-co-dong-cua-a-qc-gab-art-klf-hai-amd.1417117/,"Xin chúc mừng cổ đông của a QC: GAB, ART, KLF, HAI, AMD....",N,ROS trần phát tây lông bán như phá mả ..em không biết sắp tới nó có trở lạdduwonwgf đua không nhể,43908,NE,NE
http://f319.com/threads/xin-chuc-mung-co-dong-cua-a-qc-gab-art-klf-hai-amd.1417117/,"Xin chúc mừng cổ đông của a QC: GAB, ART, KLF, HAI, AMD....",N,chúc mừng có lộc,43908,D,D
http://f319.com/threads/xin-chuc-mung-co-dong-cua-a-qc-gab-art-klf-hai-amd.1417117/,"Xin chúc mừng cổ đông của a QC: GAB, ART, KLF, HAI, AMD....",N,trưa nay liên hoan nhể các chế,43908,D,D
http://f319.com/threads/xin-chuc-mung-co-dong-cua-a-qc-gab-art-klf-hai-amd.1417117/page-2,"Xin chúc mừng cổ đông của a QC: GAB, ART, KLF, HAI, AMD....",N,"hehe, có khi cả họ kéo nhau ra khỏi group penny ấy nhỉ",43908,NE,NE
http://f319.com/threads/xin-chuc-mung-co-dong-cua-a-qc-gab-art-klf-hai-amd.1417117/page-2,"Xin chúc mừng cổ đông của a QC: GAB, ART, KLF, HAI, AMD....",N,Xin thông báo khi nào hết dịch Corona thì lúc đó cổ phiếu họ hàng của a Quyết mới hết hot. Tin chính thức từ QuyetIndex.com,43908,P,P
http://f319.com/threads/xin-chuc-mung-co-dong-cua-a-qc-gab-art-klf-hai-amd.1417117/page-2,"Xin chúc mừng cổ đông của a QC: GAB, ART, KLF, HAI, AMD....",N,5 mã trắng cửa bán rồi thì FLC tí nữa thôi là lại tím lịm,43908,P,P
http://f319.com/threads/xin-chuc-mung-co-dong-cua-a-qc-gab-art-klf-hai-amd.1417117/page-2,"Xin chúc mừng cổ đông của a QC: GAB, ART, KLF, HAI, AMD....",N,Theo A Quyết mới có ăn còn theo a Vượng giờ thì nhăn răng.,43908,NE,NE
http://f319.com/threads/xin-chuc-mung-co-dong-cua-a-qc-gab-art-klf-hai-amd.1417117/page-3,"Xin chúc mừng cổ đông của a QC: GAB, ART, KLF, HAI, AMD....",N,"1. đừng bao giờ bóc mẽ BBS, bắt bài abc... lấy số má, phạm huý các a - điều cấm kỵ thứ nhất.2. đừng bao giờ lấy chỉ số like, flow... phù phiếm, nhỏ lẻ bám quá đông nhiều khi game over sớm- điều cấm kỵ thứ 2.3. đừng bao giờ nghe thằng khác hô hào, đi chém gió quá nhiều để rồi mất phương hướng, không thể tĩnh tâm lại- điều cấm kỵ thứ 3.khi không phạm 3 điều cấm kỵ trên thì hãy tập chung vào điều 4:.4. khi đã tĩnh tâm nhìn lại sẽ thấy con siêu game lẫn trong các game nhỏ, game phụ khác.AMD, QCG, HAI mới thực sự là siêu game, đã thử thách qua 2 tuần giông bão .AMD-GAB sát nhập.HAI-FHH lên sàn.QCG- hồi sinh với 70.000-90.000 tỷ doanh thu được cởi trói.các e khác ko chê bai, ko dùng thuyết âm mưu xyz... vì động vào bát cơm người khác sẽ bị ăn gạch đá- điều cấm kỵ thứ 4",43908,NE,NE
http://f319.com/threads/xin-chuc-mung-co-dong-cua-a-qc-gab-art-klf-hai-amd.1417117/page-3,"Xin chúc mừng cổ đông của a QC: GAB, ART, KLF, HAI, AMD....",N,tuyệt vời,43908,D,D
